line number,directive?,text,
77,0, Nope I I just watch everything I can just go search for it or stream it that's it hmm yeah there are site where you can pirate everything w w w dot oh yeah yeah [laughs] [laughs] yeah yeah yeah [laughs] But then yeah you can find a lot of steams online too but with the Chromecast you can also stream it from your computer to your TV. yeah yeah yeah yeah I don't know if you can I just watch on my t- uh on my com- computer anyways Mm yeah I have a projector in my room. yeah oh that's hardcore and um and basically it's like I set it up so that my my blinds one all my blinds are like those are white they-  uh uh I mean like the project itself They're the super dark Uh yeah I can I I have it stretched out so it also doubles as a screen Mmm and also I have the black-out blinds so that I can watch it during the daytime cause if I tu- close my blinds they will actually black it out oh yeah oh cool Hmm nice you can karaoke with uh smart TV or Chromecast Yeah not much of a karaoke guy oh okay Hmm Just YouTube would be good actually yeah YouTube has all the karaoke songs Yeah I'll watch the old videos you just shoot it to your TV any old old movies Hmm yeah If you wanna wa- wa- watch Yeah maybe I should get a smart TV yeah it's a good investment you'll be surprised I actually watch uh Lucky Number Sle- Sleven today Lucky Number Seven? Sleven Is it a movie? Is it a parody?,
78,1,35] [noise] [laughs] Karina's prett- pretty ver- very consistent she's a very good volleyball pla-  I don- I don't think I can play ever- every time I see his face [laughs] [laughs] You- you'll be like that's who we're talking about uh [laughs] [inaudible 2:26:54.95] [laughs] [laughs] [laughs] [laughs] [laughs] Oh is is Ron Jeremy a description? yeah you will yeah th- the re- his name isn't Ron Jeremy Oh okay the reason we call him Ron Jeremy is cuz he looks like Ro- well I call him Ron Jeremy if you look like Ron Jeremy [laughs] yeah But wh- these these guys saw him once and they're like okay Ron Jeremy [laughs] harsh It's like [laughs] [laughs] And everyone who saw him agrees with Alex that they yeah he he does look like Ron Je- that's why he was laughing That's pretty funny Oh Ron Jeremy [laughs] yeah [laughs] It's an interesting look First time I saw him was at [redacted] I pointed it out to Adrian hey Adrian That guy looks like Ron Jeremy [laughs] [laughs] [laughs] But we ended up we ended up playing Ron Jeremy i- it was funny [laughs] uh [noise] yeah that's funny Ron Jeremy yeah and then Bennet and Marsha tec- uh uh or Bennet said to uh Jen that like if we uh uh if we um meet up with you right uh-huh we're gonna crush you [laughs] so was that was that Bennet? Bennet Bennet said it to Jen [laughs] Really? yeah yeah Bennet said that to Jen [laughs] we're gonna crush it yeah [laughs] yeah [laughs] yeah i- I think you guys should be able to win against Marsha It's like good luck but yeah No no but that in terms of player wise Jen's better then Marsha But I think uh Bennet's better then me for sure But eh I think Bennet's yeah Bennet maybe Bennet's more Ben is better then me I don't know about that I think he's better then me He has more agility Then then Jimmy I I think he's better then me But Bennet's strong- the stronger player on our side and uh this side yeah You you you're you're in yeah Jen probably well you're better stronger then Jen but uh yeah You might have a little bit of uh of uh up on that one there this you you probably you guys both prob- both eve- everything to Marsha No I'm not gonna do that I fee- uh we pla-  Why that's the game No you you need to play to win play to win man trust me cuz they gonna do that to you [noise] Yeah man [laughs] [inaudible 2:28:40.,
79,1, yeah yeah Bennet said that to Jen [laughs] we're gonna crush it yeah [laughs] yeah [laughs] yeah i- I think you guys should be able to win against Marsha It's like good luck but yeah No no but that in terms of player wise Jen's better then Marsha But I think uh Bennet's better then me for sure But eh I think Bennet's yeah Bennet maybe Bennet's more Ben is better then me I don't know about that I think he's better then me He has more agility Then then Jimmy I I think he's better then me But Bennet's strong- the stronger player on our side and uh this side yeah You you you're you're in yeah Jen probably well you're better stronger then Jen but uh yeah You might have a little bit of uh of uh up on that one there this you you probably you guys both prob- both eve- everything to Marsha No I'm not gonna do that I fee- uh we pla-  Why that's the game No you you need to play to win play to win man trust me cuz they gonna do that to you [noise] Yeah man [laughs] [inaudible 2:28:40.80] May- maybe  you know you hit everything morally gray nice [laughs] to to [inaudible 2:28:46.33] But you know they're gonna hit everything to Jen yeah If they- no if they'd start doing that then I'll start like uh pl- playing more serious Bennet's a very good volleyer actually so so but yeah it it when the guys try to hit everything to Marsha Ben will try to cut down the angle Hmm But it's also the strategy to hit to the weaker player the weaker player the weaker player that's the double strategy right yeah yeah and even in badminton yeah Mm Does you guys did you play badminton with Bennet? yeah I play badminton How how how was he how was he better or not He's pretty pretty good He he hasn't played badminton in a long time yeah Hmm Do you play badminton Jim- Jimmy Yeah but I su- I suck yeah yeah Can you use your tennis swing your single handed back hand yeah pretty much I uh yeah I Your Fed- Your Federer back hand yeah pretty much yeah Everyone had a singled handed backhand Bur Bur Burry Burry didn't go anywhere yeah yeah [laughs] it doesn't go as far [noise] but it still works Hum its just bad because you don't have uh yo- you cut down the reaction time so much right yeah Or I me- mean you increase it right you you have that that more time to swing Where did you guys play the the badminton Uh Ren-  Renfrew drop-in Oh the drop in the the Colling- the Collingwood Community Centre that's it yeah I only played there once yeah yeah yeah or Renfrew Community Centre [noise] Oh yeah I'm gonna close the window If there wa- I wish there was a Collingwood one There is a Collingwood Community Center one Is there a Collingwood Community Centre? For bad- badminton though?,
80,0,03] Is it just one in there [laughs] it's a not [laughs] [laughs] What is this [laughs] [laughs] No this is dynamite yeah remember that when I was a little kid little kid people make up shit [laughs] [laughs] one got like this lava [laughs] I was like what the fuck [laughs] [laughs] [laughs] [laughs] no th- the white style uh-huh oh yeah Doesn't rock beat everything though I mean if you really think about it No I don't know well yeah technically like if I throw a rock at you and you have a piece of paper who's gonna win? yeah How thick is that paper [laughs] [laughs] fair enough rock hit the ro- yeah How sharp is that rock? rock [laughs] the right speed will rip through it Actually doesn't matter because uh if if that paper is pretty thick then it doesn't matter Who invented rock paper scissors? yeah I don't know [noise] uh-huh I don't know [noise] Somebody did this does not have a good sense of material design yeah No a guy who keep kep- kept losing at everything Oh had to made uh make it fair [laughs] game so [inaudible 2:32:14.08] Yay.,
81,1, Is there a like a spoon or something that I should be using? Uh In particular? I will Okay. [noise] I will cut it. Here.,
82,1, Okay. [noise] I will cut it. Here. Thank you.,
83,1, Woohoo! Of today's challenge. [noise] My mom will thank you. What? [laughs] Tha- that's why I said there's like a- power outages Nice.,
84,0, [laughs] Tha- that's why I said there's like a- power outages Nice. pretty We'll see whether it goes to six thirty four first. It will [laughs] You set it Well We don't know. Yeah. E- w- it's fine.,
85,0, Claire wants to cheers with us. Oh. This is the amount I will have. On cam-  [noise] [laughs] Cuz I can chee-  Okay. Yay.,
86,1, I dunno. Yeah. We will use that lid anyway Oh cuz we need the steaks to sit. Do we need more butter? It's okay.,
87,1, Do y- yeah You could if you wanted. You want more butter? But I w- a- um I will eat them. I like eating them. A little bit more?,
88,1, [noise] We really wanna finish it. Fifty six. And I will stop it [noise] and go again. [noise] [noise] How long did this need to sit for? [noise] Mm Oh.,
89,1, [noise] Mm I don't know. I don't know what's under twenty bucks. [noise] [laughs] [noise] [laughs] [noise] [laughs] [noise] Yeah [noise] That's like um We will get you a present. [noise] [laughs] [noise] [noise] Or you guys can use it. Surprise!,
90,1, [noise] [noise] Usually roast or boil. cook veggies. Oh [noise] We will cook the veggies. [noise] [noise] We're very Asian. [noise] That's true.,
91,1, [noise] It does lose its like Mhm. [noise] [noise] I think some people freeze it [noise] [noise] Mhm. I will test out the uh [noise] The mystery piece? Just cut half of it so other people can try it too. [noise] Okay Mkay.,
92,0, I have to be careful. Yeah. Yes [noise] I think I eat Or there will be hell to pay. Yep. So [noise] I don't know.,
93,0, other path cards you may see crystals. They have no affect on the path connections but like somebody with a crystal gold at the end. If you play those cards that person will get more gold. So So the idea is not to play the crystal cards unless you are the pr-  If you're not the Profiteer Oh Yeah. I see.,
94,0, There's only one gold piece in these? I I Yes. So how does it Doesn't it mean a Geologist will always get lot more then? [noise] If you only have one gold to split? What?,
95,0, And if Oh. So Doo doo doo doo doo. Do I mean nobody will ever place that last one Wait! No No no D- depending on depending on whether there is an uninterrupted [laughs] path now work out the total number of points depending on number of the winners each winner gets the following amount of g p from the pile. Gold pieces.,
96,1, It it says there it Really? I dunno. the special people win [noise] then all the non-saboteurs will get treasure. Mm. But wh- why would anyone wanna place that second last piece?,
97,1, Save me. [noise] [noise] Okay. Here I will prove it to you. I dunno whose side you're on. I'm on your side.,
98,1, I dunno whose side you're on. I'm on your side. I will prove it to you. I will build the next card. Towards the gold.,
99,1, prove it to you. I will build the next card. Towards the gold. She just swapped cards.,
100,0, I wonder Yes I do. Oh I think we Think that's enough lettuce? I think it will be. Let's put this back in the fridge Oh Yeah It's too wet. I'm putting the the remaining lettuce in your crisper.,
